,nome_infraestrutura,resumo_infraestrutura,data,tipo_de_infraestrutura,medida
306,AVE,15.5,2019-06-01,bacia,metro_cubico
307,AVE,13.5,2019-07-01,bacia,metro_cubico
308,AVE,12.3,2019-08-01,bacia,metro_cubico
309,AVE,8.6,2019-09-01,bacia,metro_cubico
310,AVE,9.0,2017-10-01,bacia,metro_cubico
311,AVE,8.2,2017-11-01,bacia,metro_cubico
312,AVE,12.4,2017-12-01,bacia,metro_cubico
313,AVE,12.2,2018-01-01,bacia,metro_cubico
314,AVE,12.3,2018-02-01,bacia,metro_cubico
315,AVE,19.5,2018-03-01,bacia,metro_cubico
316,AVE,20.4,2018-04-01,bacia,metro_cubico
317,AVE,16.1,2018-05-01,bacia,metro_cubico
318,AVE,14.4,2018-06-01,bacia,metro_cubico
319,AVE,15.7,2018-07-01,bacia,metro_cubico
320,AVE,14.2,2018-08-01,bacia,metro_cubico
321,AVE,11.2,2018-09-01,bacia,metro_cubico
322,AVE,5.2,2016-10-01,bacia,metro_cubico
323,AVE,7.3,2016-11-01,bacia,metro_cubico
324,AVE,6.8,2016-12-01,bacia,metro_cubico
325,AVE,7.1,2017-01-01,bacia,metro_cubico
326,AVE,14.3,2017-02-01,bacia,metro_cubico
327,AVE,7.6,2017-03-01,bacia,metro_cubico
328,AVE,12.7,2017-04-01,bacia,metro_cubico
329,AVE,18.9,2017-05-01,bacia,metro_cubico
330,AVE,19.1,2017-06-01,bacia,metro_cubico
331,AVE,18.2,2017-07-01,bacia,metro_cubico
332,AVE,15.7,2017-08-01,bacia,metro_cubico
333,AVE,12.0,2017-09-01,bacia,metro_cubico
334,AVE,13.8,2015-10-01,bacia,metro_cubico
335,AVE,13.6,2015-11-01,bacia,metro_cubico
336,AVE,12.0,2015-12-01,bacia,metro_cubico
337,AVE,17.9,2016-01-01,bacia,metro_cubico
338,AVE,20.2,2016-02-01,bacia,metro_cubico
339,AVE,20.9,2016-03-01,bacia,metro_cubico
340,AVE,18.6,2016-04-01,bacia,metro_cubico
341,AVE,19.4,2016-05-01,bacia,metro_cubico
342,AVE,16.7,2016-06-01,bacia,metro_cubico
343,AVE,13.4,2016-07-01,bacia,metro_cubico
344,AVE,11.3,2016-08-01,bacia,metro_cubico
345,AVE,7.7,2016-09-01,bacia,metro_cubico
346,AVE,16.1,2014-10-01,bacia,metro_cubico
347,AVE,17.8,2014-11-01,bacia,metro_cubico
348,AVE,11.6,2014-12-01,bacia,metro_cubico
349,AVE,12.0,2015-01-01,bacia,metro_cubico
350,AVE,13.5,2015-02-01,bacia,metro_cubico
351,AVE,11.9,2015-03-01,bacia,metro_cubico
352,AVE,13.3,2015-04-01,bacia,metro_cubico
353,AVE,16.5,2015-05-01,bacia,metro_cubico
354,AVE,14.4,2015-06-01,bacia,metro_cubico
355,AVE,12.1,2015-07-01,bacia,metro_cubico
356,AVE,11.1,2015-08-01,bacia,metro_cubico
357,AVE,13.2,2015-09-01,bacia,metro_cubico
358,AVE,16.6,2013-10-01,bacia,metro_cubico
359,AVE,14.7,2013-11-01,bacia,metro_cubico
360,AVE,21.1,2013-12-01,bacia,metro_cubico
361,AVE,20.0,2014-01-01,bacia,metro_cubico
362,AVE,20.8,2014-02-01,bacia,metro_cubico
363,AVE,15.9,2014-03-01,bacia,metro_cubico
364,AVE,13.9,2014-04-01,bacia,metro_cubico
365,AVE,14.7,2014-05-01,bacia,metro_cubico
366,AVE,14.9,2014-06-01,bacia,metro_cubico
367,AVE,15.3,2014-07-01,bacia,metro_cubico
368,AVE,14.5,2014-08-01,bacia,metro_cubico
369,AVE,14.1,2014-09-01,bacia,metro_cubico
370,AVE,15.2,2012-10-01,bacia,metro_cubico
371,AVE,16.0,2012-11-01,bacia,metro_cubico
372,AVE,19.5,2012-12-01,bacia,metro_cubico
373,AVE,20.1,2013-01-01,bacia,metro_cubico
374,AVE,19.7,2013-02-01,bacia,metro_cubico
375,AVE,19.4,2013-03-01,bacia,metro_cubico
376,AVE,20.2,2013-04-01,bacia,metro_cubico
377,AVE,16.8,2013-05-01,bacia,metro_cubico
378,AVE,14.5,2013-06-01,bacia,metro_cubico
379,AVE,13.5,2013-07-01,bacia,metro_cubico
380,AVE,11.9,2013-08-01,bacia,metro_cubico
